ncl,cltype, COmax x, COmax y, COmax v, LCO, LCOerr, LHCO, LHCOerr,LHCN, LHCNerr, vel_dispCO, vel_dispCOerr,vel_dispHCO, vel_dispHCOerr,vel_dispHCN, vel_dispHCNerr, maj, min, R, Rerr, area, perim
0,0,516,509,508,5.92e+05,37.91,3.814e+04,15.18,2.521e+04,15.21,39.71,0.4629,42.74,0.5256,35.47,0.4787,20.67,24.21,21.08,3.639,3.557e+04,2947
1,1,516,509,508,3.004e+05,24.89,1.892e+04,13.62,1.546e+04,13.73,24.3,0.3425,25.37,0.3639,23.89,0.3583,21.75,19.36,15.33,6.084,7648,489.6
2,2,514,507,433,3028,12.95,278.3,12.7,123.7,12.7,1.189,0.02092,1.155,0.01753,0.2667,0.017,10.07,23.25,nan,11.48,1958,240
3,0,463,292,452,3.663e+04,15.52,1935,12.85,357.2,12.82,4.816,0.0822,4.876,0.08003,4.121,0.1744,22.64,34.31,34.26,22.89,1.691e+04,1296
4,0,468,349,438,5831,13.21,313,12.71,84.48,12.71,1.387,0.02451,1.344,0.02243,0.3427,0.004799,11,25.37,nan,32.03,5529,585.6
5,2,515,508,439,2506,12.89,231.4,12.69,162.7,12.7,1.013,0.01889,0.9199,0.0114,0.9743,0.01507,12.83,7.917,nan,2.438,1705,230.4
6,1,516,509,508,2.202e+05,21.48,1.415e+04,13.3,1.19e+04,13.39,22.57,0.3254,23.32,0.3532,22.07,0.3204,19.15,17.25,nan,21.68,4999,374.4
7,1,516,509,508,2.119e+05,21.13,1.36e+04,13.27,1.147e+04,13.36,21.82,0.3166,22.44,0.344,21.23,0.3093,19.14,17.21,nan,18.06,4976,384
8,1,516,509,508,1.728e+05,19.91,1.142e+04,13.17,9747,13.24,17.53,0.2701,17.96,0.2779,17.43,0.2869,19.41,17.76,5.717,5.472,4538,364.8
9,1,516,509,508,1.321e+05,18.37,9027,13.05,7630,13.1,15.13,0.2341,15.59,0.247,15.02,0.2446,18.23,16.65,nan,5.441,3801,297.6
10,2,515,508,457,1.05e+04,13.33,921.2,12.72,611.4,12.72,3.237,0.05108,3.329,0.05524,3.298,0.06059,10.68,12.5,nan,1.673,1843,211.2
11,0,283,673,508,5.785e+05,32.23,4.486e+04,14.44,1.691e+04,14.33,26.62,0.4457,26.86,0.4231,24.05,0.6723,29.75,67.7,66.67,32,4.746e+04,1872
12,1,516,509,508,7.275e+04,15.66,4949,12.86,4383,12.89,12.02,0.1963,11.98,0.1901,11.9,0.2037,15.16,13.15,nan,2.449,2396,240
13,0,459,218,554,2.485e+06,55.58,1.414e+05,17.85,5.139e+04,17.74,25.92,0.2713,25.21,0.2515,23.6,0.3366,77.78,43.03,89.25,27.92,5.962e+04,2054
14,1,515,509,487,1.576e+04,13.38,1190,12.72,989.3,12.73,5.236,0.08482,5.296,0.08857,5.309,0.1012,11.42,9.258,nan,0.8279,1359,163.2
15,2,515,509,477,8016,13.05,631.5,12.7,504.9,12.71,3.085,0.04861,3.205,0.05743,2.948,0.04458,10.19,8.859,nan,0.6043,1198,163.2
16,0,421,558,472,7163,13.63,634.1,12.74,130.2,12.73,1.614,0.02474,1.876,0.02722,-0.8663,0.0506,12.37,24.23,nan,31.5,7418,767.9
17,2,271,650,499,6.109e+04,16.28,5255,12.9,2265,12.9,6.824,0.09959,7.133,0.1138,5.941,0.1156,19.02,12.93,nan,4.498,1.2e+04,979.1
18,1,459,218,554,1.174e+06,35.56,8.05e+04,14.84,3.056e+04,15,20.24,0.2903,19.14,0.2234,18.81,0.2685,72.74,38.35,80.59,33.22,2.419e+04,950.3
19,2,515,509,487,5964,12.94,434.1,12.7,375.7,12.7,1.783,0.03039,1.727,0.02602,1.718,0.0276,11.03,9.912,nan,0.7692,944.5,153.6
20,1,459,218,554,1.014e+06,33.04,7.21e+04,14.52,2.752e+04,14.68,18.71,0.281,17.68,0.208,17.72,0.272,75.98,29.42,70.91,43.46,2.235e+04,969.5
21,1,459,218,554,5.676e+05,25.54,4.67e+04,13.68,1.84e+04,13.81,16.21,0.2729,15.27,0.1915,15.16,0.2213,76.14,19.67,55.49,37.51,1.583e+04,979.1
22,1,459,218,554,5.092e+05,24.48,4.302e+04,13.58,1.71e+04,13.7,16.18,0.2723,15.25,0.1904,15.17,0.2247,75.64,19.22,54.43,37.22,1.246e+04,806.3
23,2,516,509,508,2.436e+04,13.64,1639,12.74,1516,12.74,5.991,0.09546,6.149,0.1065,5.996,0.09877,12,9.857,nan,0.8068,1267,172.8
24,2,284,673,508,2.784e+05,23.15,2.198e+04,13.46,8799,13.44,18.81,0.3563,17.78,0.2805,14.74,0.3307,23.16,33.17,33.93,12.79,2.198e+04,1094
25,2,431,232,493,3700,12.83,315,12.69,154.8,12.69,0.9684,0.01451,0.9467,0.01305,1.046,0.02395,15.47,10.72,nan,3.653,783.2,124.8
26,1,459,218,554,4.55e+05,23.5,3.961e+04,13.49,1.59e+04,13.6,13.77,0.192,13.6,0.1766,13.93,0.2272,71.04,19.47,52.69,27.37,1.166e+04,767.9
27,0,309,598,535,4.146e+05,29.15,2.46e+04,14.11,8994,14.01,14.72,0.2253,15.23,0.2335,13.62,0.2981,23.27,76.23,61.72,47.36,3.343e+04,1593
28,1,459,218,554,4.235e+05,22.87,3.748e+04,13.43,1.507e+04,13.53,12.87,0.1806,12.77,0.17,13.01,0.212,71.96,19.66,53.49,16.81,1.103e+04,739.1
29,1,436,231,535,2.006e+05,18.3,2.165e+04,13.05,9191,13.1,11.53,0.1475,11.53,0.1488,11.53,0.1706,22.29,20.2,17.66,3.614,4861,412.8
30,1,436,231,535,1.777e+05,17.76,1.985e+04,13.01,8457,13.05,11.55,0.1485,11.4,0.1415,11.4,0.1638,21.81,19.94,16.47,3.471,3571,278.4
31,1,459,218,554,5.768e+05,25.68,4.722e+04,13.7,1.858e+04,13.83,16.13,0.2625,15.25,0.1902,15.19,0.2196,76.17,19.67,55.51,36.12,1.599e+04,969.5
32,2,435,231,533,8238,12.91,1228,12.7,537.4,12.7,3.142,0.05188,3.132,0.05129,3.009,0.04834,8.283,7.853,nan,0.2542,460.7,95.99
33,2,309,598,531,1.015e+04,13.25,659.7,12.71,246.9,12.72,2.317,0.02768,2.483,0.03782,2.732,0.08839,30.21,10.09,nan,16.71,3778,432
34,2,437,218,526,1.129e+04,13.02,883.8,12.7,363.9,12.7,3.27,0.05149,3.333,0.0547,3.377,0.07167,9.652,8.078,nan,0.2651,967.5,153.6
35,2,515,509,522,1.813e+04,13.46,1022,12.73,1013,12.73,2.277,0.03359,2.268,0.03306,2.184,0.03181,16.08,17.68,nan,4.494,2004,220.8
36,1,459,218,554,5.66e+04,14.25,4200,12.77,1473,12.79,6.577,0.1218,6.536,0.112,6.122,0.1332,36.68,9.294,4.773,36.63,2834,297.6
37,2,458,219,542,2.553e+04,13.46,2047,12.73,691.9,12.73,3.525,0.05771,3.51,0.05646,3.8,0.1057,21.19,8.011,nan,10.85,2096,249.6
38,2,309,598,535,5.151e+04,15.03,3213,12.82,1344,12.83,4.563,0.07024,4.596,0.07096,4.111,0.08458,15.89,44.63,31.56,23.31,7971,604.8
39,0,455,515,598,1.168e+06,48.09,5.029e+04,16.63,8695,15.83,25.83,0.3183,27.56,0.4224,23.63,0.9346,35.57,84.38,83.98,41.59,8.883e+04,3590
40,1,516,509,534,3.526e+04,14.29,1948,12.77,1552,12.79,4.691,0.07793,4.696,0.07974,4.729,0.1012,18.37,14.5,nan,3.493,2718,259.2
41,2,516,509,534,1.802e+04,13.46,1009,12.73,815.3,12.73,3.688,0.05982,3.599,0.05376,3.367,0.05777,11.82,15.64,nan,4.507,1820,201.6
42,2,436,231,535,4751,12.82,721.6,12.69,297,12.69,1.773,0.0295,1.743,0.02712,1.68,0.02417,9.02,7.541,nan,0.7589,391.6,86.39
43,1,455,515,598,4.467e+05,30.16,2.02e+04,14.18,4140,13.96,17.64,0.2319,18.82,0.2927,18.73,0.5791,31.84,38.72,48.78,12.44,4.077e+04,1517
44,2,455,232,544,5183,12.87,334.4,12.69,139.4,12.69,1.166,0.01804,1.162,0.01797,1.184,0.02521,13.71,8.891,nan,3.31,1313,211.2
45,1,455,515,598,1.13e+05,18.07,5623,13.03,1356,13.01,11.61,0.1954,12.16,0.1953,11.8,0.4043,25.64,19.58,21.18,8.898,1.239e+04,796.7
46,0,559,285,589,1.693e+05,24.86,1.875e+04,13.65,6562,13.6,15.3,0.2013,16.64,0.213,12.5,0.2569,22.56,17.99,13.93,4.104,2.069e+04,1478
47,2,459,516,569,1.704e+04,13.9,1096,12.75,255.6,12.75,5.076,0.08844,4.973,0.07765,1.016,0.05843,27.7,12.9,8.125,47.38,3617,345.6
48,2,459,218,554,1.94e+04,13.19,1348,12.71,474.9,12.71,2.481,0.03798,2.538,0.04122,2.433,0.05436,14.91,8.889,nan,1.042,2027,259.2
49,2,454,231,554,9172,12.97,595.2,12.7,189.5,12.7,1.175,0.01888,1.151,0.01709,1.282,0.03027,11.4,16.89,nan,6.024,1543,220.8
50,1,455,232,561,1.658e+04,13.2,1041,12.71,362,12.72,1.94,0.03057,2.003,0.03567,1.887,0.03676,12.48,16.73,nan,5.662,1935,249.6
51,2,516,508,553,4496,12.9,286.3,12.69,196.9,12.7,0.9848,0.01599,0.9343,0.01207,1.009,0.02011,11.78,16.37,nan,5.52,1198,153.6
52,1,559,285,589,1.002e+05,19.06,1.091e+04,13.11,4224,13.14,12.34,0.1603,12.6,0.1655,12.33,0.2541,19.39,16.01,nan,3.311,8454,806.3
53,2,516,508,559,2.953e+04,14.49,1677,12.79,1104,12.8,5.678,0.0895,5.901,0.1014,5.571,0.1109,15.42,14.31,nan,1.961,3893,336
54,2,455,232,561,4545,12.82,287.6,12.69,114.2,12.69,0.5842,0.007994,0.5681,0.00672,0.4958,0.003717,16.73,15.57,nan,8.068,1175,182.4
55,2,561,286,564,3719,12.99,460.7,12.7,224.6,12.7,1.201,0.0212,1.162,0.01806,1.163,0.02535,16,8.71,nan,5.088,1659,201.6
56,2,459,219,561,1.296e+04,13.01,715.4,12.7,215.9,12.7,1.972,0.03296,1.909,0.02856,2.095,0.05148,13.66,11.1,nan,1.236,1474,201.6
57,2,456,232,568,8740,12.95,490.7,12.7,166.6,12.7,1.391,0.02365,1.355,0.02125,1.5,0.03514,10.94,16.11,nan,5.208,1405,172.8
58,1,559,285,589,5.825e+04,16.09,6544,12.89,2426,12.92,9.346,0.1405,9.415,0.1442,9.372,0.1939,16.4,14.38,nan,3.191,4607,403.2
59,1,559,285,589,4.8e+04,15.4,5369,12.84,1979,12.86,7.014,0.1052,7.035,0.1067,7.291,0.1518,17.18,14.52,nan,4.669,3847,297.6
60,2,561,285,572,7016,13.08,784.6,12.7,288.7,12.71,1.981,0.0339,1.941,0.03072,2.154,0.05843,12.33,11.54,nan,0.7938,1405,182.4
61,1,455,515,598,7.711e+04,16.24,3666,12.9,911.7,12.89,6.599,0.1099,6.64,0.1099,6.263,0.1927,26.13,16.3,15.73,7.425,1.018e+04,825.5
62,2,459,219,572,6877,12.89,308.6,12.69,118.3,12.7,0.777,0.01229,0.727,0.008375,0.6096,0.008595,13.43,18.94,nan,12.65,2142,259.2
63,2,455,515,591,2.297e+04,13.8,1174,12.75,310.8,12.74,3.707,0.06086,3.655,0.05674,3.675,0.1184,24.45,11.51,nan,27.18,3916,403.2
64,2,559,285,589,2.257e+04,13.89,2617,12.75,880.9,12.76,4.829,0.07738,4.761,0.07227,5.02,0.1092,16.2,11.66,nan,3.523,2396,230.4
65,2,457,233,580,6031,12.92,383.1,12.7,79.7,12.69,1.379,0.02293,1.395,0.02579,1.532,0.0446,9.647,13.32,nan,2.511,1774,192
66,2,455,515,598,1.702e+04,13.47,803.8,12.73,147,12.72,2.177,0.03759,2.118,0.03309,1.438,0.03573,21.18,14.99,nan,38.01,4999,508.8
67,2,560,286,604,2789,12.91,369.6,12.7,130.3,12.7,2.399,0.04325,2.277,0.03508,2.476,0.06738,10.16,6.144,nan,0.3878,1198,172.8
68,2,455,515,605,1.334e+04,13.46,661.9,12.73,116.3,12.72,2.473,0.04105,2.549,0.04254,1.649,0.04181,28.9,10.74,nan,26.93,5321,537.6
69,1,455,515,605,1.99e+04,13.8,955.3,12.75,154.6,12.74,2.421,0.03661,2.538,0.04182,1.938,0.04934,30.16,12.03,8.989,16.3,8454,835.1
70,2,464,516,609,4594,12.92,213.1,12.7,24.91,12.69,0.977,0.01545,0.9865,0.01663,0.2145,0.1134,26.09,21.82,25.02,14.94,2695,336
71,1,469,537,626,7.861e+04,16.79,3381,12.94,456.8,12.88,5.267,0.07665,5.333,0.08164,4.868,0.2276,21.09,35.89,33.5,18.67,1.396e+04,988.7
72,0,321,594,680,2.075e+06,56.22,1.183e+05,17.97,3.159e+04,17.41,40.12,0.644,39.83,0.596,38.82,1.128,68.74,89.25,123.8,38.28,6.446e+04,2371
73,2,469,537,623,8901,13.14,449.5,12.71,34.2,12.7,1.25,0.01802,1.332,0.01936,1.104,0.06328,18.91,15.2,nan,12.15,3571,384
74,1,321,594,680,1.402e+06,43.66,7.915e+04,15.96,2.149e+04,15.7,31.9,0.4816,31.63,0.4695,29.22,0.7044,30.04,95.14,81.69,67.88,4.112e+04,1718
75,1,321,594,680,7.743e+05,31.57,4.519e+04,14.35,1.333e+04,14.32,18.73,0.1883,18.55,0.2038,17.12,0.3178,27.6,33.32,39.4,5.684,2.089e+04,998.3
76,2,559,288,624,3491,13.07,459,12.7,50.59,12.7,1.535,0.02359,1.455,0.0195,0.3072,0.008923,16.07,10.86,nan,2.686,1797,220.8
77,1,321,594,680,8.887e+05,33.96,5.144e+04,14.64,1.501e+04,14.59,19.3,0.1989,19.23,0.2129,17.86,0.3283,27.98,33.94,40.38,7.45,2.794e+04,1363
78,2,469,537,626,6161,13.01,311.9,12.7,31.26,12.7,1.317,0.02069,1.3,0.01743,0.4782,0.01835,15.31,29.43,17.68,27.38,2626,326.4
79,1,321,594,680,5.627e+05,26.81,3.516e+04,13.82,1.056e+04,13.84,17.37,0.1992,16.83,0.181,16.42,0.2772,26.27,28.41,33.08,2.792,1.497e+04,681.6
80,2,313,609,637,3881,12.85,234.5,12.69,65.97,12.69,1.176,0.0193,1.121,0.01568,1.006,0.02048,22.24,6.655,nan,10.8,1336,201.6
81,1,321,594,680,4.6e+05,24.41,3.005e+04,13.57,9175,13.62,15.96,0.1924,15.52,0.1751,15.22,0.2739,26.4,24.89,29.29,2.201,1.336e+04,729.5
82,2,325,594,642,4673,12.91,287.9,12.7,50.48,12.7,0.9898,0.0167,0.8992,0.0109,0.4764,0.005347,12.43,23.25,nan,9.987,2096,230.4
83,2,313,607,644,2.215e+04,13.52,1206,12.73,367.1,12.73,2.743,0.0452,2.675,0.04101,2.536,0.05847,27.64,13.43,10.13,33.71,4170,364.8
84,2,305,625,650,1.011e+04,13.18,680.3,12.71,172.9,12.71,1.931,0.03002,2.006,0.03682,1.351,0.04408,17.9,11.46,nan,4.272,2442,268.8
85,1,304,623,662,6.521e+04,15.64,3905,12.86,1057,12.85,8.188,0.1254,8.284,0.1369,8.867,0.3455,11.63,19.87,nan,4.27,8132,758.3
86,0,574,305,647,-12.18,12.78,229.1,12.7,-36.03,12.69,0.3544,0.02579,1.079,0.0169,1.579,0.1163,18.49,7,nan,8.467,967.5,220.8
87,1,321,594,680,4.191e+05,23.49,2.783e+04,13.49,8563,13.53,14.9,0.183,14.56,0.1681,14.12,0.2381,26.13,24.67,28.73,2.411,1.062e+04,710.3
88,1,321,594,680,3.779e+05,22.42,2.549e+04,13.39,7895,13.44,13.49,0.1703,13.1,0.1522,12.57,0.2146,26.19,24.21,28.24,3.179,9606,681.6
89,1,304,622,662,3.017e+04,14.05,1864,12.76,438.1,12.76,5.736,0.09952,5.613,0.09187,5.739,0.2056,11.71,18.2,nan,8.495,2995,288
90,2,304,622,662,1.438e+04,13.35,928,12.72,181.7,12.72,2.555,0.0439,2.439,0.03571,2.751,0.104,16.96,12.69,nan,6.732,2695,278.4
91,2,320,595,663,5462,12.83,458.8,12.69,132.4,12.69,1.374,0.02254,1.346,0.02011,1.291,0.02593,9.238,10.16,nan,0.5063,668.1,115.2
92,2,321,594,680,6.093e+04,14.21,5353,12.77,1735,12.78,7.461,0.1126,7.522,0.1194,7.218,0.1309,13.79,14.72,nan,1.079,1359,163.2
93,2,305,624,666,1.06e+04,13.17,663.4,12.71,180,12.71,2.587,0.04494,2.419,0.03412,2.744,0.1143,10.1,15.38,nan,1.248,1751,220.8
94,1,344,612,780,1.982e+05,22.25,1.264e+04,13.37,3630,13.32,17.39,0.2964,18.16,0.3125,19.41,0.7023,21.02,16.08,3.885,35.04,1.553e+04,1123
95,1,310,622,762,2.222e+05,20.82,1.218e+04,13.25,3263,13.2,13.96,0.2054,14.47,0.2359,12.75,0.4063,18.13,31.3,24.94,17.65,1.728e+04,1171
96,1,322,597,718,9204,13.16,706.3,12.71,200.9,12.71,1.821,0.03413,1.74,0.02859,1.739,0.03572,13.87,23.63,nan,77.49,2373,268.8
97,2,322,597,718,2864,12.82,212.2,12.69,53.04,12.69,0.5822,0.007827,0.5861,0.00843,0.4409,0.004535,12.43,19.7,nan,12.28,1290,192
98,2,309,624,744,5.889e+04,15.11,3180,12.83,896.1,12.82,6.153,0.0882,6.405,0.1039,7.174,0.3126,14.47,27.54,13.23,14.17,6934,547.2
99,2,322,596,723,2513,12.82,240.1,12.69,64.26,12.69,0.7818,0.0121,0.7334,0.008687,0.7891,0.01388,10.93,20.04,nan,8.438,1129,163.2
100,2,352,613,738,1.493e+04,13.8,1096,12.75,252.3,12.74,3.28,0.05982,3.21,0.04943,2.827,0.1334,34.98,16.41,25.27,16.96,5713,508.8
101,1,344,612,780,1.309e+05,18.82,8124,13.09,2502,13.07,10.74,0.1684,10.68,0.1607,10.03,0.2553,20.53,16.21,1.012,127.5,1.147e+04,969.5
102,1,310,622,762,9.3e+04,16.37,5302,12.91,1455,12.89,7.258,0.1216,7.388,0.1235,6.365,0.2408,24.9,17.39,16.3,11.3,9169,643.2
103,1,310,622,762,3.942e+04,14.22,2281,12.77,772.7,12.77,4.355,0.0677,4.508,0.07552,5.122,0.2277,23.25,15.2,7.462,29.25,6450,489.6
104,2,310,622,762,1.255e+04,13.14,721.8,12.71,201.1,12.71,2.708,0.04244,2.669,0.04054,1.795,0.03635,17.39,10.66,nan,7.236,2718,307.2
105,1,344,612,780,3.25e+04,14.07,2163,12.76,770.2,12.77,4.694,0.08037,4.56,0.06972,4.719,0.1166,15.56,12.65,nan,1.391,3409,307.2
106,2,344,612,773,9485,13.1,655.2,12.71,289.8,12.71,2.188,0.03841,2.163,0.03687,2.227,0.04718,11.83,10.09,nan,1.188,2073,259.2
107,1,344,612,778,2.087e+04,13.59,1423,12.73,522,12.74,3.149,0.05414,3.127,0.05315,2.869,0.05013,14.92,11.75,nan,2.146,2972,297.6
108,2,309,623,766,9774,13.08,652,12.7,231.2,12.71,1.534,0.02392,1.478,0.0199,1.394,0.03197,17.94,12.76,nan,4.47,2949,393.6
109,1,309,624,772,2.419e+04,13.74,1501,12.74,205.6,12.73,2.665,0.03675,2.947,0.05051,1.083,0.04009,11.36,18.98,nan,8.132,5460,595.2
110,2,309,624,772,7909,13,513.1,12.7,35.7,12.7,1.184,0.02008,1.126,0.01613,0.1578,16.72,9.425,23.01,nan,14.42,2718,278.4
111,2,344,612,778,6686,12.97,481.9,12.7,122.5,12.7,0.7842,0.01224,0.7781,0.01157,0.8096,0.01506,18.37,13.62,nan,2.142,1912,211.2
112,2,309,623,777,5961,12.93,362.5,12.7,80.42,12.7,1.696,0.02626,1.789,0.03131,0.8217,0.0124,9.122,7.674,nan,1.023,2119,268.8
113,2,344,612,780,8138,13.02,535.2,12.7,159.6,12.7,1.178,0.01898,1.16,0.01874,1.299,0.04419,16.39,13.79,nan,4.17,1820,240
114,2,344,612,787,6030,12.97,407.4,12.7,92.88,12.7,1.94,0.0322,1.912,0.02914,1.983,0.06121,10.7,7.436,nan,0.8587,1244,172.8
